Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
16-07-2019,12-07-2020,Being hired to take part in an unlawful assembly or riot,Dhiraj Singh Thakur,Jammu & Kashmir and Ladakh,Section 158,4,362,18,
10-04-2019,03-03-2020,Dishonestly making false claim in Court,Dr. Ashutosh Pushkerray Thaker,Gujarat,Section 209,1,328,13,
04-06-2017,07-07-2018,"Buying minor for purposes of prostitution, etc",Manoj Misra,Allahabad,Section 373,5,398,8,
13-07-2018,31-08-2019,Breach of contract to serve at distant place to which servant is conveyed at master’s expense,Sanjay Prasad,Jharkhand,Section 492,2,414,15,
15-07-2017,13-08-2018,Punishment for public nuisance in cases not otherwise provided for,Veerasamy Siwagnanam,Madras,Section 290,5,394,5,
01-05-2018,22-06-2018,Habitually dealing in stolen property,Ravi Nath Tilhari,Andhra Pradesh,Section 413,2,52,3,
03-06-2017,07-03-2018,"Intercourse by superintendent of jail, remand home, etc",Anu Sivaraman,Kerala,Section 376C,4,277,3,
07-11-2018,17-06-2019,Act of a child under seven years of age,Abhay Ahuja,Bombay,Section 82,3,222,2,
15-01-2017,10-12-2017,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Ramesh Sinha,Allahabad,Section 153,4,329,5,
21-05-2017,22-08-2017,Consent known to be given under fear or misconception,Ashok Kumar Verma,Punjab and Haryana,Section 90,2,93,1,
31-10-2018,10-04-2019,Punishment for assault or criminal force otherwise than on grave provocation,M. V. Muralidaran,Manipur,Section 352,1,161,7,
05-06-2018,02-10-2018,Punishment for cheating,Rajeev Ranjan Prasad,Patna,Section 417,5,119,6,
14-01-2020,18-07-2020,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",Pushpa Virendra Ganediwala,Bombay,Section 240,4,186,19,
04-07-2018,18-03-2019,Definition of appropriate Government,Sandeep Kashinath Shinde,Bombay,Section 55A,3,257,7,
11-04-2018,26-05-2019,Dacoity,Sathish Ninan,Kerala,Section 391,4,410,8,
05-09-2018,26-09-2018,Punishment for bribery,Sachin Shankar Magadum,Karnataka,Section 171E,3,21,6,
30-05-2017,21-12-2017,Rash navigation of vessel,Valluri Kameswar Rao,Delhi,Section 280,2,205,3,
07-03-2018,24-09-2018,Criminal intimidation,Arvindsingh Ishwarsingh Supehia,Gujarat,Section 503,5,201,2,
18-08-2018,26-10-2019,Exclusion of acts which are offences independently of harm caused,R. Vijayakumar,Madras,Section 91,2,434,7,
06-03-2017,14-09-2017,Harbouring deserter,Lisa Gill,Punjab and Haryana,Section 136,2,192,1,
31-01-2017,22-02-2018,Voluntarily causing grievous hurt by dangerous weapons or means,Sureshwar Thakur,Punjab and Haryana,Section 326,4,387,4,
28-02-2020,30-01-2021,"Exhibition of false light, mark or buoy",S. Manikumar (CJ),Kerala,Section 281,4,337,15,
22-09-2018,04-08-2019,Punishment for voluntarily causing hurt,Makkimane Ganeshaiah Uma,Karnataka,Section 323,1,316,4,
19-05-2017,06-09-2017,"Kidnapping, abducting or inducing woman to compel her marriage, etc",Neeraj Tiwari,Allahabad,Section 366,5,110,2,
20-06-2018,03-11-2018,Dacoity with murder,Sachin Shankar Magadum,Karnataka,Section 396,4,136,7,
14-05-2018,13-05-2019,Counterfeiting coin,Harekoppa Thimmanna Gowda Narendra Prasad,Karnataka,Section 231,3,364,7,
13-02-2020,18-02-2021,Malignant act likely to spread infection of disease dangerous to life,Engalaguppe Seetharamaiah Indiresh,Karnataka,Section 270,4,371,11,
05-06-2018,20-08-2018,Termination of imprisonment on payment of proportional part of fine,Mauna Manish Bhatt,Gujarat,Section 69,5,76,5,
09-09-2019,22-10-2020,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,Makarand Subhash Karnik,Bombay,Section 418,5,409,20,
14-02-2017,26-05-2018,Omission to produce document or electronic record to public servant by person legally bound to produce it,Nani Tagia,Gauhati,Section 175,2,466,5,
23-05-2017,30-04-2018,Public servant concealing design to commit offence which it is his duty to prevent,Thirumuppath Raghavan Ravi,Kerala,Section 119,4,342,3,
09-02-2017,06-03-2017,Termination of imprisonment on payment of proportional part of fine,Girish Agnihotri,Punjab and Haryana,Section 69,1,25,1,
18-05-2018,23-06-2018,Kidnapping or abducting with intent secretly and wrongfully to confine person,Kaushal Jayendra Thaker,Allahabad,Section 365,2,36,8,
27-05-2019,06-05-2020,Adultery,S. M. Subramaniam,Madras,Section 497,3,345,10,
20-06-2017,26-09-2017,"Causing hurt by means of poison, etc, with intent to commit an offence",Asha Menon,Delhi,Section 328,4,98,4,
16-01-2020,30-04-2020,"Having possession of document described in Section 466 or 467, knowing it to be forged and intending to use it as genuine",Kesang Doma Bhutia,Calcutta,Section 474,2,105,9,
21-05-2017,13-04-2018,Kidnapping from lawful guardianship,Manoj Misra,Allahabad,Section 361,1,327,4,
21-12-2018,14-05-2019,Counterfeiting Government stamp,Sudhanshu Dhulia (CJ),Gauhati,Section 255,4,144,15,
02-04-2020,01-08-2020,Using as genuine a forged document or electronic record,Saroj Yadav,Allahabad,Section 471,5,121,12,
05-08-2018,20-06-2019,Giving or fabricating false evidence with intent to procure conviction of capital offence,Sarasa Venkatanarayana Bhatti,Kerala,Section 194,2,319,13,
24-12-2018,02-02-2019,Kidnapping,Vivek Kumar Birla,Allahabad,Section 359,5,40,8,
03-01-2017,11-07-2017,Dishonestly receiving stolen property,Gurmeet Singh Sandhawalia,Punjab and Haryana,Section 411,2,189,2,
19-08-2019,29-04-2020,"Criminal breach of trust by carrier, etc",Padmaraj Nemachandra Desai,Karnataka,Section 407,1,254,12,
04-02-2018,26-04-2019,Punishment for forgery,J. Sathya Narayana Prasad,Madras,Section 465,4,446,4,
01-06-2017,03-10-2017,Resistance or obstruction by a person to his lawful apprehension,R. Hemalatha,Madras,Section 224,3,124,1,
11-02-2019,18-06-2019,Grievous hurt,Nawneet Kumar Pandey,Patna,Section 320,2,127,11,
01-06-2018,29-08-2019,Housing breaking,Yashwant Varma,Delhi,Section 445,1,454,8,
13-11-2017,17-05-2018,"Theft in dwelling house, etc",Muhamed Mustaque Ayumantakath,Kerala,Section 380,5,185,3,
14-02-2018,16-10-2018,"Rioting, armed with deadly weapon",Anjani Kumar Sharan,Patna,Section 148,4,244,5,
19-05-2018,09-09-2019,Punishment for criminal trespass,Shree Prakash Singh,Allahabad,Section 447,4,478,11,
30-10-2018,17-11-2019,Unlawful compulsory labour,Shivanna Sujatha,Karnataka,Section 374,5,383,9,
26-07-2018,17-07-2019,Obscene acts and songs,Gita Gopi,Gujarat,Section 294,2,356,8,
10-01-2020,19-05-2021,Possession of coin by person who knew it to be altered when he became possessed thereof,Mruganka Sekhar Sahoo,Orissa,Section 252,3,495,10,
17-01-2017,18-05-2018,Fraudulent use of false instrument for weighing,Rahul Chaturvedi,Allahabad,Section 264,2,486,4,
15-04-2020,01-07-2020,Dishonestly making false claim in Court,Riyaz Iqbal Changla,Bombay,Section 209,4,77,5,
20-02-2017,27-10-2017,Imprisonment for non-payment of fine when offence punishable with fine only,Gautam Shirish Patel,Bombay,Section 67,3,249,2,
26-01-2018,01-12-2018,Altering appearance of coin with intent that it shall pass as coin of different description,Anant Ramanath Hegde,Karnataka,Section 248,3,309,7,
09-07-2017,04-04-2018,Making atmosphere noxious to health,Sangam Kumar Sahoo,Orissa,Section 278,3,269,4,
09-11-2018,22-05-2019,Harbouring offender,Anupinder Singh Grewal,Punjab and Haryana,Section 212,5,194,8,
17-02-2019,13-05-2019,Commencement and continuance of the right of private defence of the body,Ilangovan Ganesan,Madras,Section 102,2,85,9,
16-11-2019,29-02-2020,Punishment for cheating by personation,Gautam Kumar Choudhary,Jharkhand,Section 419,1,105,6,
13-03-2018,03-05-2019,Unlawful assembly,Biswanath Rath,Orissa,Section 141,4,416,3,
03-04-2018,11-04-2019,Enticing or taking away or detaining with criminal intent a married woman,V. Parthiban,Madras,Section 498,5,373,6,
23-11-2018,11-09-2019,Punishment for wrongful restraint,Sadhna Rani (Thakur),Allahabad,Section 341,1,292,10,
11-06-2019,14-06-2020,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Asha Menon,Delhi,Section 133,2,369,19,
22-03-2017,02-08-2017,Making or possession of any instrument for counterfeiting a property mark,Piyush Agrawal,Allahabad,Section 485,3,133,1,
28-04-2017,22-12-2017,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for",Sunil Kumar Panwar,Patna,Section 225A,2,238,2,
20-12-2018,14-12-2019,Intercourse by a man with his wife during separation,Sandeep Kashinath Shinde,Bombay,Section 376A,4,359,11,
14-07-2017,18-01-2018,Failure by person released on bail or bond to appear in Court,Suvra Ghosh,Calcutta,Section 229A,3,188,1,
04-12-2017,13-02-2019,Disobedience to order duly promulgated by public servant,Ajai Kumar Srivastava-I,Allahabad,Section 188,1,436,9,
19-01-2018,23-02-2018,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,Raj Mohan Singh,Punjab and Haryana,Section 460,1,35,2,
07-12-2019,03-04-2021,"Delivery of coin, possessed with knowledge that it is counterfeit",Ghandikota Sri Devi,Telangana,Section 239,1,483,16,
11-10-2019,02-11-2020,Punishment,Deepak Roshan,Jharkhand,Section 311,4,388,18,
30-07-2019,19-10-2020,Punishment of abetment if person abetted does act with different intention from that of abettor,Murahari Sri Raman,Orissa,Section 110,4,447,14,
22-10-2018,19-01-2020,Making or using documents resembling currency-notes or bank-notes,C. Saravanan,Madras,Section 489E,5,454,5,
22-12-2017,10-05-2018,Intentional insult with intent to provoke breach of the peace,Shankar Ganapathi Pandit,Karnataka,Section 504,4,139,5,
07-10-2018,16-05-2019,Accident in doing a lawful act,Bharati Harish Dangre,Bombay,Section 80,1,221,3,
20-12-2019,31-01-2021,Statements conducing to public mischief,Sunil Thomas,Kerala,Section 505,4,408,11,
18-09-2017,26-08-2018,Abetment of offence punishable with imprisonment-if offence be not committed,Harnaresh Singh Gill,Punjab and Haryana,Section 116,2,342,6,
23-02-2017,18-03-2017,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc, and doing acts prejudicial to maintenance of harmony",Sanjeeb Kumar Panigrahi,Orissa,Section 153A,4,23,1,
10-06-2017,27-08-2017,Procreation of minor girl,Pankaj Bhatia,Allahabad,Section 366A,4,78,3,
23-05-2019,06-04-2020,Punishment for belonging to gang of dacoits,PuthenVeedu Gopala Pillai Ajithkumar,Kerala,Section 400,5,319,9,
28-08-2018,08-09-2019,Attempt to commit robbery or dacoity when armed with deadly weapon,Debabrata Dash,Orissa,Section 398,4,376,5,
03-01-2018,20-04-2018,Sentence of Europeans and Americans to penal servitude,M. Duraiswamy,Madras,Section 56,5,107,3,
18-05-2018,13-02-2019,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",Biswajit Basu,Calcutta,Section 240,4,271,3,
24-03-2020,08-04-2021,Act against which there is no right of private defence,Kumbhajadala Manmadha Rao,Andhra Pradesh,Section 99,4,380,16,
26-09-2018,15-11-2018,Fraudulent use of false instrument for weighing,Pavankumar Bhimappa Banjanthri,Patna,Section 264,1,50,9,
30-03-2017,24-04-2018,Criminal force,Ambuj Nath,Jharkhand,Section 350,2,390,3,
11-08-2017,30-06-2018,Murder,Sameer Jain,Allahabad,Section 300,4,323,7,
30-06-2018,21-04-2019,Public servant negligently suffering such prisoner to escape,Anil Kumar Sinha,Patna,Section 129,5,295,6,
11-04-2020,19-06-2021,Issuing or signing false certificate,Shivashankar Amarannavar,Karnataka,Section 197,5,434,9,
05-05-2018,03-06-2018,Being member of unlawful assembly,Dhiraj Singh Thakur,Jammu & Kashmir and Ladakh,Section 142,5,29,6,
09-12-2018,28-04-2019,Negligent act likely to spread infection of disease dangerous to life,Jasmeet Singh,Delhi,Section 269,3,140,4,
12-09-2019,14-05-2020,Refusing to sign statement,R. Subramanian,Madras,Section 180,3,245,12,
19-07-2019,24-03-2020,Giving false evidence,Arun Bhansali,Rajasthan,Section 191,1,249,17,
23-12-2017,29-07-2018,Rape,Mary Joseph,Kerala,Section 375,5,218,4,
04-11-2019,02-12-2020,Extortion,Nitin Bhagawantrao Suryawanshi,Bombay,Section 383,3,394,14,
10-06-2017,20-12-2017,Threat of injury to induce person to refrain from applying for protection to public servant,Dr. Bidyut Ranjan Sarangi,Orissa,Section 190,2,193,2,
14-10-2019,19-10-2020,"Word, gesture or act intended to insult the modesty of a woman",Byrareddy Veerappa,Karnataka,Section 509,5,371,14,
19-02-2020,05-01-2021,"Preventing service of summons or other proceeding, or preventing publication thereof",Om Prakash Tripathi,Allahabad,Section 173,5,321,15,
24-02-2017,05-12-2017,Abetment of offence punishable with imprisonment-if offence be not committed,Addula Venkateshwara Reddy,Telangana,Section 116,3,284,3,
16-07-2019,17-07-2020,Attempt to Acid Attack,Achintya Malla Bujor Barua,Gauhati,Section 326B,2,367,11,
06-02-2017,08-04-2017,Enticing or taking away or detaining with criminal intent a married woman,Shekhar B. Saraf,Calcutta,Section 498,3,61,1,
28-11-2019,30-12-2020,Description of imprisonment for non-payment of fine,M. Govindaraj,Madras,Section 66,1,398,9,
19-01-2018,16-04-2019,Erasure of mark denoting that stamp has been used,Vinit Kumar Mathur,Rajasthan,Section 263,2,452,4,
17-06-2017,30-09-2018,Negligent conduct with respect to poisonous substance,Pankaj Bhandari,Rajasthan,Section 284,4,470,5,
26-07-2017,03-09-2017,Punishment for culpable homicide not amounting to murder,Thamilselvi T. Valayapalayam,Madras,Section 304,5,39,2,
07-04-2019,17-07-2020,"Wrongful confinement to extort property, or constrain to illegal act",Arvind Singh Sangwan,Punjab and Haryana,Section 347,3,467,14,
05-04-2017,20-11-2017,Fraudulently obtaining decree for sum not due,Harnaresh Singh Gill,Punjab and Haryana,Section 210,3,229,4,
14-02-2018,16-02-2019,Punishment for criminal intimidation,Sunita Agarwal,Allahabad,Section 506,4,367,9,
01-12-2018,02-04-2019,"Hiring, or conniving at hiring, of persons to join unlawful assembly",Gurvinder Singh Gill,Punjab and Haryana,Section 150,1,122,7,
13-08-2017,04-05-2018,Punishment for undue influence or personation at an election,Vivek Singh Thakur,Himachal Pradesh,Section 171F,1,264,3,
24-12-2017,14-11-2018,"Abetment of act of insubordination by soldier, sailor or airman",Navin Chawla,Delhi,Section 138,1,325,2,
16-03-2020,27-04-2020,Punishment for undue influence or personation at an election,Dr. Kauser Edappagath,Kerala,Section 171F,1,42,12,
08-02-2019,31-05-2019,Kidnapping or abducting in order to murder,Nawneet Kumar Pandey,Patna,Section 364,3,112,10,
18-01-2020,12-10-2020,Adultery,Milind Ramesh Phadke,Madhya Pradesh,Section 497,3,268,8,
07-03-2020,13-07-2021,Cheating and dishonestly inducing delivery of property,Abhijit Gangopadhyay,Calcutta,Section 420,3,493,14,
14-07-2017,07-11-2017,Owner or occupier of land on which an unlawful assembly is held,Shivanna Sujatha,Karnataka,Section 154,4,116,1,
16-04-2017,24-08-2017,Obscene acts and songs,Saumitra Dayal Singh,Allahabad,Section 294,2,130,1,
11-02-2020,02-08-2020,"Making or possessing counterfeit seal, etc, with intent to commit forgery punishable otherwise",Nilay Vipinchandra Anjari,Gujarat,Section 473,3,173,10,
01-12-2019,07-10-2020,Using a false property mark,Mohammed Ghouse Shukure Kamal,Karnataka,Section 481,3,311,12,
06-06-2019,01-02-2020,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Mudalikulam Raman Anitha,Kerala,Section 153,2,240,10,
15-03-2019,17-12-2019,Punishment for forgery,Todupunuri Amarnath Goud,Tripura,Section 465,5,277,7,
24-04-2017,30-03-2018,Offence requiring a particular intent of knowledge committed by one who is intoxicated,Sushrut Arvind Dharmadhikari,Madhya Pradesh,Section 86,5,340,3,
25-11-2017,22-06-2018,Causing grievous hurt by act endangering life or personal safety of others,Ponugoti Naveen Rao,Telangana,Section 338,1,209,6,
30-04-2018,22-04-2019,"Exposure and abandonment of child under twelve years, by parent or person having care of it",Ahsanuddin Amanullah,Andhra Pradesh,Section 317,5,357,7,
26-10-2017,19-11-2017,Liability of person for whose benefit riot is committed,Tarlada Rajasekhar Rao,Andhra Pradesh,Section 155,4,24,2,
28-10-2017,17-09-2018,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,Mohd. Akram Chowdhary,Jammu & Kashmir and Ladakh,Section 60,4,324,7,
18-02-2019,02-02-2020,Owner or occupier of land on which an unlawful assembly is held,Rabindranath Samanta,Calcutta,Section 154,1,349,17,
28-12-2017,25-02-2018,Punished for mischief,Amit Bansal,Delhi,Section 426,3,59,1,
20-08-2017,07-08-2018,Grievous hurt,Ajai Tyagi,Allahabad,Section 320,2,352,5,
27-02-2017,24-09-2017,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment",Kannammal Shanmuga Sundaram,Madras,Section 62,2,209,1,
05-04-2018,18-01-2019,Falsification of accounts,Meenakshi I. Mehta,Punjab and Haryana,Section 477A,5,288,8,
22-07-2017,05-02-2018,"Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment",Umesh Kumar,Allahabad,Section 109,3,198,5,
14-03-2018,10-11-2018,Harbouring offender,V. Narasingh,Orissa,Section 212,2,241,5,
25-07-2018,02-03-2019,Act of a person of unsound mind,Rajnish Bhatnagar,Delhi,Section 84,2,220,8,
23-11-2017,13-02-2018,Abetment of suicide of child or insane person,Satyendra Kumar Singh,Madhya Pradesh,Section 305,3,82,3,
28-04-2018,16-05-2019,Refusing to answer public servant authorised to question,Ravi Nath Tilhari,Andhra Pradesh,Section 179,2,383,5,
03-12-2018,08-06-2019,Criminal breach of trust by clerk or servant,Pulleri Vadhyarillath Kunhikrishnan,Kerala,Section 408,1,187,5,
05-12-2019,21-10-2020,House trespass,Sanjay Kumar Medhi,Gauhati,Section 442,2,321,9,
24-03-2018,27-06-2018,Public servant farming an incorrect document with intent to cause injury,Konakanti Sreenivasa Reddy,Andhra Pradesh,Section 167,1,95,4,
13-04-2018,16-02-2019,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable",Sathish Ninan,Kerala,Section 65,3,309,6,
21-01-2020,08-03-2020,Punishment for criminal trespass,Arun Monga,Punjab and Haryana,Section 447,4,47,8,
10-01-2020,21-12-2020,Causing death by negligence,Patlolla Madhavi Devi,Telangana,Section 304A,2,346,18,
05-08-2018,12-02-2019,Lurking house-trespass by night,Chandrakant Vasant Bhadang,Bombay,Section 444,2,191,9,
28-05-2019,26-02-2020,Punishment for robbery,Anil Kolavampara Narendran,Kerala,Section 392,1,274,9,
02-12-2019,27-02-2021,Cheating by personation,T. S. Sivagnanam,Calcutta,Section 416,2,453,14,
22-01-2019,22-10-2019,Abetting commission of offence by the public or by more than ten persons,Satya Gopal Chattopadhyay,Tripura,Section 117,4,273,11,
21-03-2019,19-07-2019,Voluntarily causing hurt in committing robbery,Annireddy Abhishek Reddy,Telangana,Section 394,4,120,10,
21-10-2019,23-03-2020,Abettor,Sangeeta Kamalsingh Vishen,Gujarat,Section 108,2,154,17,
11-04-2019,04-11-2019,Punishment for belonging to gang of thieves,J. Sathya Narayana Prasad,Madras,Section 401,2,207,8,
24-01-2018,11-12-2018,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Savanur Vishwajith Shetty,Karnataka,Section 153,4,321,3,
10-06-2017,26-05-2018,Rash driving or riding on a public way,Girish Agnihotri,Punjab and Haryana,Section 279,5,350,4,
21-03-2018,12-01-2019,Punishment for house-trespass,Gannamaneni Ramakrishna Prasad,Andhra Pradesh,Section 448,4,297,6,
12-03-2020,06-10-2020,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc, and doing acts prejudicial to maintenance of harmony",Neena Bansal Krishna,Delhi,Section 153A,5,208,12,
01-05-2017,03-06-2018,"Selling minor for purposes of prostitution, etc",R. Pongiappan,Madras,Section 372,4,398,5,
22-07-2018,29-11-2019,Abetment of offence punishable with imprisonment-if offence be not committed,Mohammad Nawaz,Karnataka,Section 116,4,495,9,
04-02-2020,17-05-2020,Things done in private defence,Manju Rani Chauhan,Allahabad,Section 96,4,103,12,
25-07-2019,15-09-2020,Property mark,Nelson Sailo,Gauhati,Section 479,2,418,13,
18-12-2019,11-10-2020,"Public servant in judicial proceeding corruptly making report, etc, contrary to law",Saurabh Shyam Shamsherry,Allahabad,Section 219,1,298,12,
05-11-2019,08-11-2020,Omission to give notice or information to public servant by person legally bound to give it,Sanjay Agrawal,Chhattisgarh,Section 176,3,369,11,
18-05-2017,21-09-2017,Act done in good faith for benefit of a person without consent,Manoj Kumar Gupta,Allahabad,Section 92,4,126,2,
06-11-2019,11-07-2020,Mischief by killing or maiming animal of the value of ten rupees,Sudhir Mittal,Punjab and Haryana,Section 428,3,248,12,
09-10-2017,29-09-2018,Voluntarily causing hurt in committing robbery,Manish Kumar,Allahabad,Section 394,5,355,6,
22-03-2020,05-05-2020,Commutation of sentence of imprisonment for life,Annireddy Abhishek Reddy,Telangana,Section 55,4,44,17,
06-10-2019,30-07-2020,Making a false mark upon any receptacle containing goods,Hethur Puttaswamygowda Sandesh,Karnataka,Section 487,1,298,18,
22-10-2019,07-08-2020,Defamation,Ajay Bhanot,Allahabad,Section 499,4,290,15,
06-10-2019,22-12-2020,Fabricating false evidence,Jaswant Singh,Orissa,Section 192,3,443,8,
08-02-2019,18-03-2020,Wrongful confinement for three or more days,Sangam Kumar Sahoo,Orissa,Section 343,1,404,12,
22-05-2017,31-01-2018,House-trespass in order to commit offence punishable with imprisonment for life,Mahesh Sharadchandra Sonak,Bombay,Section 450,1,254,1,
07-01-2018,25-05-2018,Making or selling false weight or measure,Arvind Kumar Mishra,Allahabad,Section 267,4,138,4,
03-04-2017,26-03-2018,Owner or occupier of land on which an unlawful assembly is held,Mallavolu Satyanarayana Murthy,Andhra Pradesh,Section 154,1,357,2,
07-06-2018,02-01-2019,"Candidate, Electoral right defined",Hitesh Kumar Sarma,Gauhati,Section 171A,5,209,8,
18-10-2019,28-03-2020,"Possession of instrument, or material for the purpose of using the same for counterfeiting coin",Harsimran Singh Sethi,Punjab and Haryana,Section 235,2,162,9,
05-07-2019,04-09-2020,"Act caused by inducing person to believe that he will be rendered an object of the Divine
displeasure",Nitin Wasudeo Sambre,Bombay,Section 508,2,427,13,
21-07-2018,23-10-2019,Criminal breach of trust,Rekha Palli,Delhi,Section 405,1,459,7,
16-03-2020,14-10-2020,Fraudulently suffering decree for sum not due,Lisa Gill,Punjab and Haryana,Section 208,4,212,10,
28-05-2017,20-12-2017,Negligent conduct with respect to machinery,Ashutosh Kumar,Patna,Section 287,3,206,2,
24-11-2018,06-06-2019,Violation of condition of remission of punishment,Murali Shankar Kuppuraju,Madras,Section 227,5,194,6,
10-02-2019,08-03-2019,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,Jay Sen Gupta,Calcutta,Section 217,5,26,9,
05-05-2019,29-05-2020,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",Mudalikulam Raman Anitha,Kerala,Section 133,2,390,12,
21-07-2018,27-02-2019,Personation of a juror or assessor,Ajit Kumar,Allahabad,Section 229,2,221,9,
25-03-2017,20-06-2018,Dishonest misappropriation of property,Gautam Chourdiya,Chhattisgarh,Section 403,1,452,6,
26-07-2017,30-06-2018,Public servant unlawfully engaging in trade,Dr. Hosur Bhujangaraya Prabhakara Sastry,Karnataka,Section 168,5,339,4,
28-07-2017,31-05-2018,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,Rajani Dubey,Chhattisgarh,Section 75,2,307,3,
13-06-2017,21-11-2017,Termination of imprisonment on payment of proportional part of fine,Rajesh Kumar Bhardwaj,Punjab and Haryana,Section 69,1,161,2,
03-12-2017,31-12-2018,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,Kannammal Shanmuga Sundaram,Madras,Section 495,4,393,7,
20-11-2018,23-09-2019,Refusing to answer public servant authorised to question,Aravind Kumar (CJ),Gujarat,Section 179,4,307,6,
25-08-2019,04-01-2020,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for",Ritu Raj Awasthi (CJ),Karnataka,Section 225A,4,132,13,
10-09-2019,07-11-2020,Undue influence at elections,Rabindranath Samanta,Calcutta,Section 171C,4,424,24,
29-01-2019,25-11-2019,Punishment for rape,Dinesh Kumar Paliwal,Madhya Pradesh,Section 376,4,300,8,
15-02-2020,11-12-2020,Voluntarily causing hurt on provocation,J. Nisha Banu,Madras,Section 334,1,300,7,
20-05-2019,22-04-2020,Commutation of sentence of imprisonment for life,Biswanath Somadder (CJ),Sikkim,Section 55,1,338,17,
13-10-2017,16-02-2019,Dishonestly or fraudulently preventing debt being available for creditors,Soumitra Saikia,Gauhati,Section 422,1,491,7,
05-08-2019,27-08-2019,"Collecting arms, etc, with intention of waging war against the Government of India",Rakesh Srivastava,Allahabad,Section 122,1,22,10,
03-06-2018,22-09-2018,Abetment of suicide of child or insane person,Shinde Sambhaji Shiwaji,Bombay,Section 305,2,111,5,
06-08-2018,01-06-2019,Obscene acts and songs,Ashish Jitendra Desai,Gujarat,Section 294,3,299,6,
29-10-2017,27-12-2018,Punishment for culpable homicide not amounting to murder,Kesang Doma Bhutia,Calcutta,Section 304,2,424,5,
09-03-2017,09-08-2017,"Preventing service of summons or other proceeding, or preventing publication thereof",Abdul Quddhose,Madras,Section 173,5,153,1,
16-03-2017,19-08-2017,Omission to give notice or information to public servant by person legally bound to give it,Rajeev Kumar Shrivastava,Madhya Pradesh,Section 176,3,156,3,
16-07-2017,18-03-2018,Commencement and continuance of the right of private defence of property,Satyendra Kumar Singh,Madhya Pradesh,Section 105,5,245,5,
21-05-2019,29-08-2020,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Rajeev Kumar Dubey,Madhya Pradesh,Section 70,4,466,15,
16-02-2020,27-08-2020,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Ramakrishna Devdas,Karnataka,Section 331,2,193,20,
09-11-2019,02-01-2020,"Having possession of document described in Section 466 or 467, knowing it to be forged and intending to use it as genuine",Indrajit Mahanty (CJ),Tripura,Section 474,2,54,14,
01-02-2020,07-03-2021,Receiving Property taken by war on depredation mention in Sections 125 and 126,Kongara Vijaya Lakshmi,Andhra Pradesh,Section 127,1,400,16,
19-07-2017,07-06-2018,"Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",Sanjay Kumar Pachori,Allahabad,Section 477,4,323,3,
25-04-2018,15-06-2018,Assembling for purpose of committing dacoity,Jayant Banerji,Allahabad,Section 402,5,51,2,
17-07-2017,07-11-2018,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse",Saugata Bhattacharyya,Calcutta,Section 145,5,478,7,
16-12-2017,22-05-2018,"Act done by a person bound, or by mistake of fact believing himself bound, by law",Virender Singh,Madhya Pradesh,Section 76,3,157,7,
22-11-2019,25-02-2020,Assisting in concealment of stolen property,Ashutosh Jayantilal Shastri,Gujarat,Section 414,5,95,10,
26-05-2017,15-08-2018,Wrongful confinement,Pankaj Jain,Punjab and Haryana,Section 340,5,446,1,
20-10-2018,07-10-2019,"Forgery of record of court or of public register, etc",Vipin Sanghi,Delhi,Section 466,2,352,10,
16-08-2018,30-06-2019,Persons subject to certain Acts,Hanchate Sanjeev Kumar,Karnataka,Section 139,3,318,11,
01-08-2019,11-02-2020,Counterfeiting coin,Vivek Chaudhary,Allahabad,Section 231,2,194,10,
15-09-2018,10-12-2018,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",Shree Prakash Singh,Allahabad,Section 241,2,86,6,
03-08-2017,03-02-2018,Punishment for wrongful restraint,Shahrukh Jimmi Kathawalla,Bombay,Section 341,5,184,4,
